名称,经度,纬度,类别,地址,POI类型,评分,人均消费
哈尔滨文庙,126.674916,45.775841,景点,文庙街25号(近黑河路),风景名胜;风景名胜;寺庙道观,4.7,[]
梅金肖克百年庭院,126.619691,45.769931,景点,中央大街50号(中央大街地铁站1号口步行410米),风景名胜;风景名胜;风景名胜|商务住宅;商务住宅相关;商务住宅相关,4.7,[]
中东铁路桥头堡,126.625846,45.783708,景点,斯大林街2-1号火车主题广场,风景名胜;风景名胜;风景名胜,4.7,[]
哈尔滨美术馆,126.558664,45.740681,景点,群力大道7号,科教文化服务;科教文化场所;科教文化场所,4.7,[]
哈尔滨工业大学博物馆,126.638681,45.751436,景点,公司街59号,科教文化服务;博物馆;博物馆,4.7,[]
龙江大舞台旗舰店,126.635377,45.780148,景点,宝宇天邑环球港A区9-1(北马路地铁站1号口旁),体育休闲服务;影剧院;剧场,4.7,[]
雅致永悦汇养生沐浴,126.683843,45.745727,景点,华山路19号1-3层,生活服务;洗浴推拿场所;洗浴推拿场所,4.7,108.00
太阳岛风景区-东北抗日联军纪念园,126.608067,45.790589,景点,警备路3号太阳岛风景区内(东侧),风景名胜;风景名胜;纪念馆,5.0,[]
平房公园,126.636379,45.595612,景点,友协街道友协大街29号(近龙滨路),风景名胜;公园广场;公园,4.7,[]
哈军工纪念馆,126.684220,45.775750,景点,燎原街道燎原街道燎原街道燎原街道燎原街道哈尔滨工程大学世昌路5号,风景名胜;风景名胜;纪念馆,5.0,[]
哈尔滨伏尔加庄园,126.899550,45.671175,景点,成高子镇民强村(哈城公路16公里处),住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;度假疗养场所;度假村|风景名胜;风景名胜相关;旅游景点,4.7,[]
哈尔滨清滨公园投影民宿(哈尔滨工业大学店),126.617275,45.740625,景点,清明三道街与通达街交叉口东北40米,住宿服务;住宿服务相关;住宿服务相关,4.8,[]
哈尔滨群力丁香公园地铁站亚朵酒店,126.571291,45.732852,景点,群力第七大道508号D1栋,住宿服务;宾馆酒店;宾馆酒店,4.7,[]
万达广场(哈尔滨哈西店),126.587039,45.700398,景点,中兴大道168号(凯盛源广场地铁站1号口旁),购物服务;商场;购物中心,4.9,[]
凯德广场·学府,126.608948,45.721232,景点,学府路1-1号,购物服务;商场;购物中心,4.9,[]
万达广场(哈尔滨香坊店),126.678170,45.740403,景点,衡山路17号,购物服务;商场;购物中心,4.8,[]
万达广场(哈尔滨哈东店),126.760383,45.717605,景点,香福路52号,购物服务;商场;购物中心,4.8,[]
杉杉奥特莱斯广场·哈尔滨,126.559329,45.876294,景点,利民大道555号,购物服务;商场;购物中心,4.8,[]
哈特购物广场,126.625199,45.741792,景点,西大直街118号(哈尔滨工大高新技术园区),购物服务;商场;购物中心,4.7,[]
杉杉(杉杉奥特莱斯广场·哈尔滨店),126.560139,45.877150,景点,利民大道555号杉杉奥特莱斯广场·哈尔滨F2层C24500,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,4.7,[]
金爵万象商业广场,126.583009,45.698947,景点,哈西哈尔滨大街,购物服务;商场;购物中心,4.7,[]
哈尔滨西站万达广场中心桔子水晶酒店,126.585465,45.701752,景点,中兴大道579号靠近凯盛源广场(地铁站),住宿服务;宾馆酒店;宾馆酒店,4.8,[]
哈尔滨记忆城市文化主题餐厅(金中环广场店),126.563908,45.735893,景点,群力第四大道956号金中环广场F1层,餐饮服务;中餐厅;中餐厅,4.7,98.00
万达影城(哈尔滨香坊万达广场店),126.677879,45.739477,景点,衡山路17-1号万达广场4层,体育休闲服务;影剧院;电影院,4.8,44.00
哈尔滨西站万达广场美居酒店,126.583762,45.696181,景点,哈尔滨大街与南兴街交叉口爱达九溪loft2栋,住宿服务;宾馆酒店;经济型连锁酒店,4.7,[]
波波笑剧场(哈尔滨哈西万达广场店),126.585676,45.700140,景点,中兴大道168号万达广场(哈尔滨哈西店)4F层,体育休闲服务;影剧院;剧场|体育休闲服务;休闲场所;休闲场所,4.7,105.00
全季酒店(哈尔滨中央大街哈站北广场店),126.626222,45.759349,景点,地工街4号,住宿服务;宾馆酒店;宾馆酒店,4.7,[]
如家酒店(哈尔滨香坊万达广场龙塔店),126.673868,45.744397,景点,鸿翔路27号,住宿服务;宾馆酒店;宾馆酒店,4.8,[]
希岸Deluxe酒店(哈尔滨哈西高铁站万达广场店),126.589710,45.691762,景点,哈尔滨大街685号,住宿服务;宾馆酒店;宾馆酒店,4.8,[]
毛毛镇音乐主题乐园,126.552299,45.518411,景点,松花江路1号,体育休闲服务;休闲场所;游乐场,4.7,63.00
哈尔滨民俗博物馆民宿(松花江店),126.606775,45.757875,景点,安定街与安发街交叉口西120米,住宿服务;住宿服务相关;住宿服务相关,4.8,[]
快乐专+(哈尔滨店),126.760825,45.717375,景点,香福路52号万达广场哈尔滨哈东店4层,体育休闲服务;体育休闲服务场所;体育休闲服务场所,4.7,87.00
遇见汤泉,126.549897,45.720266,景点,群力第七大道B45栋-2层01,生活服务;洗浴推拿场所;洗浴推拿场所,4.8,115.00
哈尔滨枫叶小镇温泉度假酒店,126.467207,45.825814,景点,智谷三街5555号,住宿服务;住宿服务相关;住宿服务相关,4.7,[]
滨果汤泉空间,126.603661,45.763869,景点,爱建南路与锦园路交叉口西南20米,生活服务;洗浴推拿场所;洗浴推拿场所,4.7,173.00
悦溪棠温泉洗浴,126.586281,45.705044,景点,哈西街道西宁北路101号,生活服务;生活服务场所;生活服务场所,4.7,47.00
禧沐汤泉,126.541838,45.712868,景点,群力家园C区滇池东路1372号,生活服务;洗浴推拿场所;洗浴推拿场所,4.7,149.00
银河欢乐世界温泉洗浴,126.497076,45.800211,景点,世茂大道83号,生活服务;洗浴推拿场所;洗浴推拿场所,4.7,57.00
浴玺湾温泉水汇,126.639959,45.568265,景点,哈南十五路、哈南第八大道公共绿地、项目用地界线围合区域103室,生活服务;洗浴推拿场所;洗浴推拿场所|住宿服务;宾馆酒店;宾馆酒店,4.7,[]
云尚汤泉洗浴会馆,126.604778,45.749268,景点,建议街1号-3层,生活服务;洗浴推拿场所;洗浴推拿场所,4.7,97.00
亚布力良栖青云民宿,128.506864,44.754010,景点,亚布力青云小镇东三街,住宿服务;旅馆招待所;旅馆招待所,4.8,[]
花筑·栖禧民宿(雪谷风景区店),128.124691,44.397248,景点,山河屯林业局东升委1组31号,住宿服务;旅馆招待所;旅馆招待所,4.8,[]
亚布力芳源李·1897民宿,128.503328,44.750981,景点,青云小镇西14街1号,住宿服务;旅馆招待所;旅馆招待所,4.8,[]
亚布力壹号别院民宿,128.621798,44.932548,景点,亚布力镇护林街与绥满公路交叉路口东南约70米,住宿服务;旅馆招待所;旅馆招待所,4.9,[]
寒酥庄园酒店(亚布力滑雪旅游度假区),128.515175,44.825075,景点,亚布力滑雪旅游度假区亚雪公路珍奇动物科技示范园东南方向30米,住宿服务;住宿服务相关;住宿服务相关,4.9,[]
亚布力梵山雪麓民宿,128.504625,44.794625,景点,亚布力镇青山村亚布力晶一晶雪服店东北100米,住宿服务;住宿服务相关;住宿服务相关,4.9,[]
琪瑞酒店(哈尔滨太平国际机场店),126.280376,45.633397,景点,立功村,住宿服务;宾馆酒店;宾馆酒店,4.8,[]
亚布力青年雪鼎山庄,128.488157,44.789857,景点,尚志亚布力滑雪场旅游度假区金牌大道85号,住宿服务;住宿服务相关;住宿服务相关,4.9,[]
亚布力富丽山居民宿,128.481024,44.784097,景点,亚布力金牌大道亚雪旅游集团西北100米,住宿服务;旅馆招待所;旅馆招待所,4.8,[]
亚布力·沁园春lce and Snow World·轻奢别墅(亚布力南站店),128.504098,44.796135,景点,亚布力镇大青山村雪山路8号,住宿服务;宾馆酒店;宾馆酒店,4.9,[]
亚布力滑雪温泉森林别墅,128.506125,44.756625,景点,亚布力滑雪场青云小镇西五街四栋,住宿服务;住宿服务相关;住宿服务相关,5.0,[]
野有故里设计师民宿,128.505011,44.754488,景点,亚布力滑雪场青云小镇A区,住宿服务;住宿服务相关;住宿服务相关,4.8,[]
花筑·西柚度假民宿(哈尔滨冰雪大世界店),126.582384,45.820457,景点,龙江第一村525栋1号,住宿服务;住宿服务相关;住宿服务相关,4.8,[]
亚布力玖间度假别墅(滑雪旅游度假区店),128.503439,44.760439,景点,亚布力青云小镇西二街与沿河路交叉口西30米路南,住宿服务;住宿服务相关;住宿服务相关,4.9,[]
亚布力友所居温泉民宿,128.506821,44.756674,景点,森林公园派出所南150米,住宿服务;住宿服务相关;住宿服务相关,4.8,[]
墅云居·Travel休闲度假民宿(亚布力滑雪旅游度假区店),128.506761,44.756570,景点,青云小镇青云路好灶头铁锅炖东北50米处,住宿服务;旅馆招待所;旅馆招待所,4.9,[]
亚布力青云小镇清雅轩民宿,128.506325,44.755649,景点,青云路与东二街交叉口东南20米,住宿服务;旅馆招待所;旅馆招待所,4.7,[]
雪谷李姐温泉酒店,128.126254,44.396328,景点,雪谷兄弟缘客栈附近(瑞丰宾馆北50米),住宿服务;住宿服务相关;住宿服务相关,4.7,[]
嘉毅客栈(中国雪谷风景区店),128.129358,44.392284,景点,山河屯林业局东升林场(大河身经营所),住宿服务;住宿服务相关;住宿服务相关,4.9,[]
佰源民宿酒店(东北虎林园店),126.609583,45.826017,景点,东北亚大街1738号广信新城小区BS-4号楼1号商服2层3层,住宿服务;旅馆招待所;旅馆招待所,4.8,[]
春上汤泉,126.659175,45.730553,景点,和祥路134号,生活服务;洗浴推拿场所;洗浴推拿场所,4.7,65.00
亚布力滑雪旅游度假区,128.459895,44.772421,景点,金牌大道84号,体育休闲服务;度假疗养场所;度假村,4.7,[]
哈尔滨热雪奇迹,126.500714,45.803200,景点,世茂大道99号融创茂1楼,体育休闲服务;运动场馆;滑雪场|体育休闲服务;娱乐场所;娱乐场所,4.7,256.00
老街滋味坊(直营旗舰店),126.660607,45.771854,景点,东大直街96号1-2层,餐饮服务;中餐厅;中餐厅,4.7,61.00
老街滋味坊(民安小区店),126.611710,45.746235,景点,民安街190号,餐饮服务;中餐厅;中餐厅,4.7,73.00
偏脸子哈尔滨老烧烤(自兴街店),126.606673,45.719281,景点,自兴街51号(学府路地铁站出入口步行420米),餐饮服务;中餐厅;中餐厅,4.7,90.00
老街滋味坊(香坊大街店),126.683903,45.724463,景点,香坊大街57号,餐饮服务;餐饮相关场所;餐饮相关,4.7,54.00
隆栎老北京炭火锅(巴陵街),126.661812,45.755168,景点,巴陵街52-16号,餐饮服务;中餐厅;火锅店,4.7,69.00
老松滨饭店(菜艺街店),126.683041,45.734403,景点,菜艺街125号,餐饮服务;中餐厅;中餐厅,4.7,77.00
老牌坊云南鱼豆花火锅(大成街店),126.656135,45.766663,景点,大成街229号(近东大直街花园街),餐饮服务;中餐厅;火锅店,4.7,101.00
偏脸子哈尔滨老烧烤(建国北六道街店),126.599169,45.751679,景点,建国北六道街24号,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,90.00
一头牛正宗齐齐哈尔烤肉(太古街店),126.652164,45.780646,景点,太古街370号,餐饮服务;中餐厅;特色/地方风味餐厅,4.7,55.00
哈尔滨万枫酒店(中央大街火车站店),126.626178,45.763602,住宿,霁虹街32号(尚志大街地铁站2号口步行300米),住宿服务;宾馆酒店;宾馆酒店,4.6,[]
焕彩时尚宾馆(哈尔滨站中央大街店),126.624450,45.763150,住宿,东安街34号(尚志大街地铁站3号口步行330米),住宿服务;宾馆酒店;宾馆酒店,4.6,[]
惟景假日酒店(哈尔滨中央大街店),126.608039,45.753209,住宿,建河街9号,住宿服务;宾馆酒店;四星级宾馆,4.7,[]
哈尔滨中央大街友谊路亚朵酒店,126.596479,45.765683,住宿,友谊路431号,住宿服务;宾馆酒店;经济型连锁酒店,4.6,[]
茄子青旅(中央大街店),126.618335,45.761528,住宿,安固街32号,住宿服务;旅馆招待所;青年旅舍,4.8,[]
萤火虫青年旅舍(哈尔滨中央大街索菲亚教堂店),126.626792,45.767360,住宿,田地街116号中财公寓9层B号,住宿服务;旅馆招待所;青年旅舍,4.8,[]
哈尔滨染冬青年旅舍(中央大街步行街索菲亚教堂店),126.632265,45.768585,住宿,买卖街43号田地大厦,住宿服务;旅馆招待所;青年旅舍,4.9,[]
稻香国际青年旅舍(哈尔滨中央大街店),126.614428,45.774503,住宿,中医街77号,住宿服务;旅馆招待所;青年旅舍,4.8,[]
豪滨假日酒店(哈尔滨火车站博物馆地铁站店),126.651057,45.756848,住宿,果戈里大街280号,住宿服务;宾馆酒店;四星级宾馆,4.5,[]
滨江快捷宾馆,126.620953,45.670877,住宿,学府路291号(哈尔滨南站地铁站1号口步行80米),住宿服务;宾馆酒店;宾馆酒店,4.5,[]
VIP会所(哈尔滨凯德广场店),126.609534,45.722298,住宿,学府路0-19号(学府路地铁站1号口步行50米),住宿服务;宾馆酒店;宾馆酒店|体育休闲服务;体育休闲服务场所;体育休闲服务场所,4.8,[]
鸿顺旅店(哈尔滨医大二院店),126.614148,45.694225,住宿,学府路139号(正生大药房院内)9号楼4单元2楼距离医大二院10米近服装城,住宿服务;住宿服务相关;住宿服务相关,4.6,[]
有房民宿(哈尔滨理工大学店),126.622545,45.717145,住宿,学府经典b区7栋1单元,住宿服务;旅馆招待所;旅馆招待所,4.5,[]
哈尔滨天吉招待所,126.649738,45.766452,住宿,哈市南岗区邮政街86-2号(医大一院住院处对面),住宿服务;旅馆招待所;旅馆招待所,4.6,[]
秦泉青年旅馆(哈尔滨南岗店),126.649518,45.737447,住宿,文景街副63-9号,住宿服务;旅馆招待所;旅馆招待所,4.8,[]
哈尔滨火车站果戈里大街漫心酒店,126.653622,45.755323,住宿,果戈里大街238号,住宿服务;宾馆酒店;宾馆酒店|购物服务;购物相关场所;购物相关场所,4.6,[]
哈尔滨天翼快捷宾馆,126.664330,45.760059,住宿,比乐街22号,住宿服务;宾馆酒店;宾馆酒店,4.8,[]
顺心旅店(哈尔滨海城市场店),126.651382,45.741972,住宿,文化街54号,住宿服务;宾馆酒店;宾馆酒店|住宿服务;旅馆招待所;旅馆招待所,4.9,[]
哈尔滨合欣旅店,126.613181,45.762782,住宿,安松街43号,住宿服务;旅馆招待所;旅馆招待所,4.9,[]
哈尔滨尚志旅社,126.625505,45.764167,住宿,尚志大街副1-1号,住宿服务;旅馆招待所;旅馆招待所,4.7,[]
顺航宾馆(哈尔滨太平国际机场店),126.239295,45.640033,住宿,太平镇大张家临时站对面,住宿服务;宾馆酒店;宾馆酒店,4.6,[]
哈尔滨香坊金沙时尚快捷宾馆,126.693990,45.724057,住宿,油坊街163号(轴承名苑西南门旁),住宿服务;宾馆酒店;宾馆酒店,4.5,[]
哈尔滨喜光主题小宾馆,126.682117,45.723459,住宿,消防胡同12-4号,住宿服务;宾馆酒店;宾馆酒店,4.7,[]
哈尔滨金帝宾馆,126.592884,45.740767,住宿,顾乡大街7号(加油站对面),住宿服务;宾馆酒店;宾馆酒店,4.9,[]
自然空间休闲宾馆(哈尔滨巴洛克极乐寺店),126.658375,45.783298,住宿,太古街214号,住宿服务;宾馆酒店;宾馆酒店,4.6,[]
君康日租公寓(中华巴洛克风情街店),126.640738,45.778506,住宿,承德街361号,住宿服务;旅馆招待所;旅馆招待所,4.7,[]
太阳岛宾馆(太阳大道),126.587946,45.779350,住宿,太阳岛风景区太阳大道1号,住宿服务;宾馆酒店;宾馆酒店,4.7,[]
北舍民宿(哈尔滨北岸明珠龙湾店),126.551666,45.805125,住宿,松北大道北岸明珠龙湾C栋1104室,住宿服务;住宿服务相关;住宿服务相关,4.8,[]
雅舍青旅(哈尔滨松北区融创茂店),126.493929,45.801128,住宿,世茂大道融创融园G10栋1单元1001室,住宿服务;住宿服务相关;住宿服务相关,4.7,[]
哈尔滨太阳岛花园酒店,126.567250,45.770604,住宿,冰花路869号,住宿服务;宾馆酒店;宾馆酒店,4.5,[]
哈尔滨站,126.632690,45.761621,景点,铁路街1号,交通设施服务;火车站;火车站,4.8,[]
哈尔滨西站,126.577304,45.707228,交通,哈西街道哈尔滨大街501号,交通设施服务;火车站;火车站,[],[]
哈尔滨东站,126.711692,45.788009,交通,桦树街1号,交通设施服务;火车站;火车站,[],[]
哈尔滨北站,126.535657,45.850243,交通,利民大道西侧(哈尔滨北站地铁站4号口步行80米),交通设施服务;火车站;火车站,[],[]
哈尔滨太平国际机场,126.241474,45.611938,交通,迎宾路,交通设施服务;机场相关;飞机场,[],[]
