,哈尔滨冰雪大世界,哈尔滨融创乐园,哈尔滨中央大街,太阳岛风景区,哈尔滨极地公园,哈尔滨极地公园·极地馆,东北虎林园,哈尔滨防洪纪念塔广场,哈尔滨市人民防洪胜利纪念塔,索菲亚广场,哈尔滨音乐公园,圣·索菲亚教堂,中华巴洛克历史文化街区,斯大林公园,哈尔滨市兆麟公园,音乐长廊,江上城堡观光索道,哈尔滨市博物馆,极乐寺,黑龙江省博物馆,中东铁路桥,哈药六版画博物馆,龙塔,体育公园,俄罗斯童话博物馆,哈尔滨市儿童公园,波塞冬海底世界,东北烈士纪念馆,哈尔滨文庙,梅金肖克百年庭院,中东铁路桥头堡,哈尔滨美术馆,哈尔滨工业大学博物馆,龙江大舞台旗舰店,雅致永悦汇养生沐浴,太阳岛风景区-东北抗日联军纪念园,平房公园,哈军工纪念馆,哈尔滨伏尔加庄园,哈尔滨清滨公园投影民宿(哈尔滨工业大学店),哈尔滨群力丁香公园地铁站亚朵酒店,万达广场(哈尔滨哈西店),凯德广场·学府,万达广场(哈尔滨香坊店),万达广场(哈尔滨哈东店),杉杉奥特莱斯广场·哈尔滨,哈特购物广场,杉杉(杉杉奥特莱斯广场·哈尔滨店),金爵万象商业广场,哈尔滨西站万达广场中心桔子水晶酒店,哈尔滨记忆城市文化主题餐厅(金中环广场店),万达影城(哈尔滨香坊万达广场店),哈尔滨西站万达广场美居酒店,波波笑剧场(哈尔滨哈西万达广场店),全季酒店(哈尔滨中央大街哈站北广场店),如家酒店(哈尔滨香坊万达广场龙塔店),希岸Deluxe酒店(哈尔滨哈西高铁站万达广场店),毛毛镇音乐主题乐园,哈尔滨民俗博物馆民宿(松花江店),快乐专+(哈尔滨店),遇见汤泉,哈尔滨枫叶小镇温泉度假酒店,滨果汤泉空间,悦溪棠温泉洗浴,禧沐汤泉,银河欢乐世界温泉洗浴,浴玺湾温泉水汇,云尚汤泉洗浴会馆,亚布力良栖青云民宿,花筑·栖禧民宿(雪谷风景区店),亚布力芳源李·1897民宿,亚布力壹号别院民宿,寒酥庄园酒店(亚布力滑雪旅游度假区),亚布力梵山雪麓民宿,琪瑞酒店(哈尔滨太平国际机场店),亚布力青年雪鼎山庄,亚布力富丽山居民宿,亚布力·沁园春lce and Snow World·轻奢别墅(亚布力南站店),亚布力滑雪温泉森林别墅,野有故里设计师民宿,花筑·西柚度假民宿(哈尔滨冰雪大世界店),亚布力玖间度假别墅(滑雪旅游度假区店),亚布力友所居温泉民宿,墅云居·Travel休闲度假民宿(亚布力滑雪旅游度假区店),亚布力青云小镇清雅轩民宿,雪谷李姐温泉酒店,嘉毅客栈(中国雪谷风景区店),佰源民宿酒店(东北虎林园店),春上汤泉,亚布力滑雪旅游度假区,哈尔滨热雪奇迹,老街滋味坊(直营旗舰店),老街滋味坊(民安小区店),偏脸子哈尔滨老烧烤(自兴街店),老街滋味坊(香坊大街店),隆栎老北京炭火锅(巴陵街),老松滨饭店(菜艺街店),老牌坊云南鱼豆花火锅(大成街店),偏脸子哈尔滨老烧烤(建国北六道街店),一头牛正宗齐齐哈尔烤肉(太古街店),哈尔滨万枫酒店(中央大街火车站店),焕彩时尚宾馆(哈尔滨站中央大街店),惟景假日酒店(哈尔滨中央大街店),哈尔滨中央大街友谊路亚朵酒店,茄子青旅(中央大街店),萤火虫青年旅舍(哈尔滨中央大街索菲亚教堂店),哈尔滨染冬青年旅舍(中央大街步行街索菲亚教堂店),稻香国际青年旅舍(哈尔滨中央大街店),豪滨假日酒店(哈尔滨火车站博物馆地铁站店),滨江快捷宾馆,VIP会所(哈尔滨凯德广场店),鸿顺旅店(哈尔滨医大二院店),有房民宿(哈尔滨理工大学店),哈尔滨天吉招待所,秦泉青年旅馆(哈尔滨南岗店),哈尔滨火车站果戈里大街漫心酒店,哈尔滨天翼快捷宾馆,顺心旅店(哈尔滨海城市场店),哈尔滨合欣旅店,哈尔滨尚志旅社,顺航宾馆(哈尔滨太平国际机场店),哈尔滨香坊金沙时尚快捷宾馆,哈尔滨喜光主题小宾馆,哈尔滨金帝宾馆,自然空间休闲宾馆(哈尔滨巴洛克极乐寺店),君康日租公寓(中华巴洛克风情街店),太阳岛宾馆(太阳大道),北舍民宿(哈尔滨北岸明珠龙湾店),雅舍青旅(哈尔滨松北区融创茂店),哈尔滨太阳岛花园酒店,哈尔滨站,哈尔滨西站,哈尔滨东站,哈尔滨北站,哈尔滨太平国际机场
哈尔滨音乐公园,8.57,15.33,6.88,13.17,9.7,9.96,16.03,6.89,6.91,7.44,0.0,8.8,10.88,8.73,8.2,0.82,7.88,8.3,11.96,9.97,8.78,17.16,14.68,3.94,8.47,11.44,29.62,9.47,12.63,7.75,9.76,3.25,9.68,9.59,15.23,11.43,28.17,16.48,43.07,8.08,4.35,7.95,8.82,14.03,31.38,20.15,9.09,20.71,7.68,7.77,3.55,15.72,8.18,7.84,8.47,13.83,14.77,35.76,6.21,22.53,5.28,18.89,6.38,6.95,6.08,14.97,34.71,6.37,241.53,250.0,241.82,225.99,233.07,236.79,30.7,238.05,239.37,236.59,241.13,241.47,14.82,241.05,241.17,241.13,241.24,250.14,250.88,16.57,12.3,241.06,15.12,11.11,6.99,8.54,14.63,13.24,15.29,11.37,5.78,11.02,9.08,8.19,6.72,7.61,8.29,8.35,8.84,7.54,10.91,20.0,8.54,10.38,10.89,10.6,11.2,13.4,11.76,11.69,7.22,9.05,31.92,15.82,14.71,5.6,16.77,10.24,9.5,12.46,15.42,9.08,9.35,7.45,23.09,18.75,35.83
圣·索菲亚教堂,9.5,16.25,2.76,14.09,10.62,10.88,14.79,3.41,3.43,1.42,8.8,0.0,3.53,2.85,1.39,7.6,2.39,1.0,4.55,2.25,2.62,7.1,6.33,8.91,1.12,3.49,17.18,1.76,4.92,1.08,3.12,7.61,4.23,2.21,6.91,10.29,23.14,6.42,27.03,4.42,7.37,10.26,7.12,6.31,15.28,19.0,4.1,19.57,10.0,10.36,8.0,6.51,10.49,10.15,3.04,6.11,10.97,33.58,3.15,15.47,9.5,19.0,2.82,9.25,10.79,15.12,26.76,3.19,230.66,245.64,230.96,215.12,222.21,225.93,34.08,227.19,228.5,225.72,230.27,230.6,13.68,230.18,230.31,230.27,230.37,245.78,246.52,12.78,6.72,230.2,15.27,3.4,3.97,7.71,7.65,4.64,7.08,3.65,3.7,2.99,1.23,1.54,3.84,3.44,2.77,0.32,0.8,1.84,5.09,12.57,6.83,10.05,9.72,2.88,5.12,4.79,4.04,4.98,1.7,1.21,35.3,8.76,7.73,4.88,3.7,2.58,8.36,11.32,15.57,7.94,1.64,9.68,8.58,17.61,39.2
中华巴洛克历史文化街区,11.59,18.34,4.36,16.18,12.71,12.97,12.86,4.38,4.4,3.84,10.88,3.53,0.0,3.46,2.84,9.42,3.54,2.23,3.76,3.67,3.22,6.68,6.55,11.94,2.1,4.18,15.3,2.17,5.76,2.51,2.09,10.65,5.22,0.85,7.1,12.11,25.04,6.0,31.61,5.83,10.17,11.67,8.53,7.72,16.69,18.73,5.51,18.64,11.41,11.27,10.39,7.92,11.9,11.56,4.23,7.47,12.38,35.49,5.49,16.88,11.84,20.82,4.39,10.66,13.13,16.95,28.67,5.53,235.08,246.27,235.38,219.54,226.63,230.34,36.41,231.6,232.92,230.14,234.69,235.02,14.35,234.6,234.72,234.69,234.79,246.4,247.14,10.91,8.13,234.62,17.09,2.88,5.33,9.12,9.06,4.59,8.06,4.11,6.03,1.05,3.55,3.04,6.18,5.41,4.7,2.64,2.38,3.31,4.88,16.43,8.24,13.88,11.63,2.62,7.25,4.58,3.77,6.91,4.04,3.52,37.63,9.93,9.14,7.22,1.54,0.53,10.18,13.14,17.4,9.76,3.05,11.62,6.51,19.44,41.54
斯大林公园,9.43,16.18,2.2,14.02,10.55,10.81,14.54,0.36,0.36,2.44,8.73,2.85,3.46,0.0,2.79,6.44,1.93,2.9,7.33,5.16,2.83,14.14,11.66,8.96,3.07,6.39,18.17,4.66,7.82,3.16,3.81,7.66,6.07,3.63,12.21,9.22,25.17,9.02,35.81,6.86,7.19,11.86,8.79,9.22,21.71,17.94,6.07,18.5,11.6,11.68,7.41,9.42,12.09,11.75,5.45,9.02,11.84,41.2,4.72,21.91,9.23,17.93,3.07,10.86,10.45,14.06,32.66,4.89,234.26,249.24,234.56,218.72,225.81,229.53,36.14,230.79,232.1,229.33,233.87,234.21,12.61,233.78,233.91,233.87,233.97,249.38,250.12,14.36,11.68,233.8,14.2,6.3,5.5,9.39,14.01,7.54,14.67,6.56,4.3,5.07,4.26,3.38,5.24,2.14,3.76,3.39,3.88,1.59,7.99,14.25,8.5,11.72,10.88,5.79,8.18,7.7,6.95,8.67,3.53,4.24,37.36,15.2,14.09,6.54,5.55,4.29,7.29,10.25,14.51,6.87,4.54,11.09,10.5,16.54,41.27
哈尔滨市兆麟公园,8.9,15.65,1.75,13.49,10.02,10.28,14.54,2.23,2.26,0.98,8.2,1.39,2.84,2.79,0.0,7.99,2.1,1.22,5.38,3.27,1.79,7.94,7.35,10.51,1.58,5.21,16.65,3.14,6.03,1.99,2.29,9.21,5.23,1.38,7.92,10.68,24.15,7.26,28.05,5.43,8.74,11.28,8.13,7.33,16.3,19.39,5.12,19.99,11.02,10.88,8.96,7.53,11.51,11.17,3.89,7.13,11.99,34.6,5.66,16.49,11.09,19.38,4.52,10.26,12.38,15.51,27.78,4.78,231.68,246.66,231.98,216.14,223.22,226.94,35.67,228.2,229.52,226.74,231.29,231.62,14.07,231.2,231.32,231.28,231.39,246.79,247.53,12.26,7.74,231.22,15.66,4.5,4.99,8.73,8.67,5.66,8.1,5.74,5.29,3.05,2.81,2.52,5.43,3.97,4.35,1.9,1.65,2.58,6.11,13.59,7.84,11.07,10.74,4.24,6.13,5.81,5.39,6.0,3.29,2.78,36.89,9.78,8.75,6.47,3.62,1.89,8.75,11.7,15.96,8.33,2.65,11.28,8.99,18.0,40.79
音乐长廊,8.5,15.26,6.81,13.1,9.63,9.89,15.96,6.82,6.84,7.37,0.82,7.6,9.42,6.44,7.99,0.0,7.83,8.24,11.9,9.91,8.72,17.11,14.63,3.89,8.42,11.38,29.56,9.42,12.58,7.7,9.7,3.19,9.62,9.53,15.18,11.38,28.11,16.43,43.01,8.02,4.29,7.89,8.76,13.97,31.32,20.09,9.03,20.65,7.63,7.72,3.5,15.66,8.12,7.78,8.42,13.77,14.71,35.7,6.15,22.47,5.22,18.83,6.32,6.89,6.02,14.92,34.66,6.32,241.47,249.95,241.77,225.93,233.02,236.74,30.65,237.99,239.31,236.53,241.08,241.41,14.77,240.99,241.12,241.07,241.18,250.09,250.82,16.52,12.24,241.01,15.06,11.05,6.93,8.48,14.57,13.18,15.24,11.31,5.72,10.96,9.02,8.13,6.66,7.56,8.24,8.29,8.79,7.49,10.86,19.94,8.49,10.32,10.84,10.54,11.14,13.34,11.7,11.64,7.17,9.0,31.87,15.76,14.65,5.54,16.71,10.18,9.45,12.4,15.37,9.03,9.3,7.4,23.03,18.7,35.77
江上城堡观光索道,8.59,15.34,0.94,13.18,9.71,9.97,14.62,0.59,0.62,2.06,7.88,2.39,3.54,1.93,2.1,7.83,0.0,2.57,7.0,4.84,2.5,13.82,11.34,8.75,2.75,6.07,17.84,4.34,7.5,2.84,3.48,7.45,5.74,3.31,11.89,8.9,24.96,8.69,35.59,8.09,6.97,11.64,8.57,8.89,21.5,17.61,5.74,18.18,11.38,11.47,7.2,9.09,11.87,11.53,5.13,8.7,11.62,40.98,4.51,21.69,9.01,17.6,2.74,10.64,10.23,13.73,32.44,4.67,234.05,249.02,234.35,218.51,225.59,229.31,35.92,230.57,231.89,229.11,233.66,233.99,12.29,233.57,233.69,233.65,233.76,249.16,249.9,14.04,11.46,233.59,13.88,5.98,5.29,9.17,13.79,7.22,14.46,6.24,4.08,4.74,3.94,3.06,5.02,1.93,3.44,3.07,3.56,1.27,7.67,14.04,8.29,11.51,10.66,5.46,7.86,7.38,6.62,8.35,3.21,3.92,37.15,14.98,13.87,6.33,5.22,3.96,6.97,9.92,14.18,6.55,4.22,10.87,10.18,16.22,41.05
哈尔滨市博物馆,9.0,15.76,1.85,13.6,10.13,10.39,15.32,2.34,2.36,0.53,8.3,1.0,2.23,2.9,1.22,8.24,2.57,0.0,4.9,2.72,1.86,7.46,6.8,10.1,0.51,4.66,16.73,2.27,5.55,0.97,2.37,8.8,4.19,1.62,7.37,10.27,23.6,6.78,27.5,4.88,8.33,10.73,7.58,6.78,15.74,18.98,4.57,19.54,10.47,10.33,8.55,6.98,10.96,10.62,1.99,6.58,11.44,34.05,3.24,15.94,10.01,18.97,2.79,9.71,11.3,15.1,27.23,3.7,231.13,246.11,231.43,215.59,222.68,226.39,34.59,227.65,228.97,226.19,230.74,231.07,13.66,230.65,230.77,230.73,230.84,246.24,246.98,12.33,7.19,230.67,15.25,4.02,4.51,8.18,8.12,5.11,7.55,5.26,4.21,3.29,1.74,1.48,4.35,4.04,3.28,0.84,1.17,1.71,5.55,13.04,7.29,10.52,10.19,3.76,5.14,5.26,4.91,5.45,2.21,1.72,35.81,9.23,8.2,5.39,4.05,2.12,8.34,11.29,15.55,7.92,2.1,10.19,9.06,17.59,39.71
极乐寺,16.48,23.09,6.21,21.07,17.61,17.86,13.82,6.77,6.79,4.84,11.96,4.55,3.76,7.33,5.38,11.9,7.0,4.9,0.0,3.31,5.59,5.79,4.71,12.41,4.04,4.53,15.96,3.31,1.83,4.59,4.51,11.11,5.13,3.27,5.26,13.8,23.99,3.03,34.17,6.97,10.88,12.81,8.1,5.73,19.53,19.38,5.3,19.3,12.55,13.96,11.51,6.5,13.04,12.7,5.79,5.64,14.49,34.44,6.66,17.16,13.0,23.96,6.32,11.8,14.3,23.49,27.62,6.7,236.06,251.03,236.35,220.51,227.6,231.32,37.58,232.58,233.9,231.12,235.66,236.0,15.0,235.57,235.7,235.66,235.77,251.17,251.91,11.56,7.5,235.59,23.66,1.85,6.9,8.7,8.24,3.78,6.22,2.0,7.2,3.02,5.05,5.0,7.35,6.95,6.26,3.81,3.55,5.35,4.06,15.38,7.82,12.83,10.58,2.65,6.19,3.77,2.88,5.86,5.21,5.04,38.8,8.1,8.51,8.39,3.05,2.82,11.87,18.86,23.94,11.45,4.19,13.19,5.11,22.89,42.71
黑龙江省博物馆,10.67,17.43,4.22,15.27,11.8,12.06,15.72,4.84,4.86,2.55,9.97,2.25,3.67,5.16,3.27,9.91,4.84,2.72,3.31,0.0,5.24,6.26,4.26,9.9,3.32,2.12,18.54,1.64,4.08,3.19,5.26,8.61,2.0,4.1,4.84,11.97,21.07,5.27,24.96,3.24,8.72,9.33,5.25,4.24,13.21,20.68,2.45,21.88,9.07,8.93,9.22,4.44,9.56,9.22,3.91,4.04,10.04,31.51,4.52,13.4,10.85,20.67,4.75,8.31,12.14,16.8,24.69,4.54,228.59,243.57,228.89,213.05,220.14,223.86,35.42,225.12,226.43,223.66,228.2,228.53,15.36,228.11,228.24,228.2,228.3,243.71,244.45,14.14,4.65,228.13,16.95,2.56,4.25,5.85,5.58,2.57,5.01,2.03,5.0,4.13,1.92,2.89,5.1,5.54,3.91,2.47,2.97,3.94,1.31,10.71,4.97,8.19,7.66,2.26,2.94,2.72,2.98,2.91,3.86,1.9,36.65,6.69,5.66,6.21,4.7,3.91,10.04,12.99,17.25,9.62,1.95,9.64,7.61,19.29,40.55
中东铁路桥,9.48,16.23,2.25,14.07,10.61,10.87,14.3,2.27,2.29,2.21,8.78,2.62,3.22,2.83,1.79,8.72,2.5,1.86,5.59,5.24,0.0,8.54,8.13,10.29,2.09,5.99,16.9,3.92,6.63,2.18,2.54,9.0,5.4,2.37,8.7,10.46,24.93,9.22,28.83,6.21,8.52,12.05,10.12,8.11,17.07,19.18,5.9,19.74,11.79,11.65,8.75,8.31,12.29,11.94,3.21,7.91,12.76,35.38,4.95,17.26,10.56,19.17,4.31,11.04,12.53,15.3,28.56,4.93,235.6,250.57,235.9,220.06,227.14,230.86,35.82,232.12,233.44,230.66,235.21,235.54,13.86,235.12,235.24,235.2,235.31,250.71,251.45,12.5,8.52,235.13,15.44,5.1,5.85,10.72,9.44,6.43,8.88,6.34,5.44,3.79,3.32,2.69,5.58,3.76,4.34,2.41,2.69,2.36,6.88,15.58,9.84,13.06,11.52,4.84,6.35,6.59,5.99,6.78,3.44,3.3,37.04,10.55,9.52,7.88,4.28,3.02,8.54,11.49,15.75,8.12,3.43,11.42,9.23,17.79,40.94
哈药六版画博物馆,17.66,25.08,9.29,22.25,18.78,19.04,15.81,9.33,9.35,7.4,17.16,7.1,6.68,14.14,7.94,17.11,13.82,7.46,5.79,6.26,8.54,0.0,3.77,18.46,7.09,5.6,18.49,6.37,3.62,7.65,11.33,17.16,7.31,6.33,4.33,22.85,24.1,2.76,25.16,9.96,16.87,14.69,11.9,4.8,14.27,23.67,9.32,23.59,14.43,14.06,17.5,5.56,14.57,14.58,10.12,4.7,14.59,34.54,10.74,10.27,19.0,28.75,10.96,14.43,20.29,27.68,29.08,10.76,230.8,245.77,231.09,215.26,222.34,226.06,43.57,227.32,228.64,225.86,230.41,230.74,20.12,230.32,230.44,230.4,230.51,245.91,246.65,16.55,8.54,230.33,28.78,4.51,14.29,11.48,5.82,4.38,5.18,4.37,11.22,5.84,8.96,10.25,11.32,10.01,10.12,6.87,6.61,8.41,5.13,15.34,11.04,12.93,10.68,5.05,6.3,4.84,3.95,5.96,8.27,8.94,44.8,5.68,6.12,14.38,5.61,6.62,20.92,23.87,26.84,20.5,7.25,19.18,4.21,30.17,48.7
龙塔,15.18,21.93,8.3,19.77,16.31,16.57,16.99,8.92,8.94,6.63,14.68,6.33,6.55,11.66,7.35,14.63,11.34,6.8,4.71,4.26,8.13,3.77,0.0,13.86,7.24,4.39,24.35,5.61,3.49,6.74,8.82,12.56,5.1,6.18,1.22,18.24,21.89,3.73,25.75,7.76,12.27,12.49,9.7,1.94,13.76,22.64,6.27,22.56,12.23,11.86,12.9,2.46,12.37,12.38,7.92,1.59,12.39,32.34,8.54,11.38,14.39,26.95,8.76,12.23,15.69,23.08,25.77,8.55,230.29,245.26,230.59,214.75,221.83,225.55,38.97,226.81,228.13,225.35,229.9,230.23,18.27,229.81,229.93,229.89,230.0,245.4,246.14,14.82,3.79,229.82,23.22,4.36,9.69,9.28,4.2,2.53,2.18,4.75,9.02,5.69,6.03,8.05,9.12,9.1,7.92,6.21,7.23,7.5,3.86,13.28,8.84,10.73,8.48,5.44,3.4,2.69,2.54,3.76,8.32,6.01,40.19,4.05,4.5,10.23,5.46,6.47,16.32,19.27,23.53,15.89,5.5,14.57,7.1,25.57,44.09
体育公园,11.04,13.64,9.33,15.64,12.17,12.43,18.49,9.34,9.36,9.89,3.94,8.91,11.94,8.96,10.51,3.89,8.75,10.1,12.41,9.9,10.29,18.46,13.86,0.0,10.47,12.24,28.84,10.62,16.91,8.89,11.76,3.33,10.48,11.59,15.9,13.43,26.52,17.14,41.42,10.47,2.71,7.08,8.58,15.84,29.74,20.9,8.38,21.46,6.83,6.24,2.02,14.93,6.64,6.98,11.68,15.64,7.45,34.12,7.18,21.75,2.96,16.64,7.73,5.41,3.82,12.73,33.07,6.46,239.88,248.36,240.18,224.34,231.43,235.15,29.16,236.41,237.72,234.94,239.49,239.82,17.09,239.4,239.53,239.49,239.59,248.5,249.24,19.17,11.52,239.42,12.87,12.26,7.06,8.11,13.85,13.9,14.51,12.52,6.26,13.02,10.23,9.34,7.16,9.62,8.47,9.51,10.0,9.54,11.71,18.35,8.3,8.84,10.65,11.75,11.65,14.06,12.91,12.36,8.2,10.21,30.39,15.04,13.93,5.29,17.43,12.24,11.5,14.0,13.18,11.08,10.5,5.13,22.31,19.51,34.29
俄罗斯童话博物馆,9.17,15.93,2.02,13.77,10.3,10.56,14.91,2.51,2.53,0.3,8.47,1.12,2.1,3.07,1.58,8.42,2.75,0.51,4.04,3.32,2.09,7.09,7.24,10.47,0.0,3.49,17.18,1.76,4.92,1.08,3.24,7.61,4.23,2.2,6.91,10.29,23.14,6.42,27.03,4.41,7.37,10.26,7.11,6.31,15.28,19.0,4.1,19.57,10.0,10.36,8.0,6.51,10.49,10.15,3.04,6.11,10.97,33.58,3.15,15.47,9.5,18.99,2.81,9.24,10.79,15.12,26.76,3.19,230.66,245.64,230.96,215.12,222.21,225.93,34.07,227.18,228.5,225.72,230.27,230.6,13.68,230.18,230.31,230.26,230.37,245.78,246.51,12.78,6.72,230.2,15.27,3.39,3.96,7.71,7.65,4.64,7.08,3.65,3.69,2.98,1.23,1.54,3.84,3.44,2.77,0.32,0.8,1.84,5.09,12.57,6.83,10.05,9.72,2.88,5.11,4.79,4.04,4.98,1.7,1.21,35.3,8.76,7.73,4.88,3.7,2.58,8.36,11.31,15.57,7.94,1.64,9.68,8.58,17.61,39.2
哈尔滨市儿童公园,11.94,18.69,5.46,16.53,13.06,13.32,16.66,6.77,6.8,5.11,11.44,3.49,4.18,6.39,5.21,11.38,6.07,4.66,4.53,2.12,5.99,5.6,4.39,12.24,3.49,0.0,17.98,2.08,5.06,3.62,5.97,9.86,3.41,4.72,5.52,12.83,21.29,6.72,25.64,4.5,9.9,11.17,6.51,4.92,13.89,21.4,3.71,21.32,10.91,11.26,10.53,5.12,11.4,11.06,5.16,4.72,11.79,31.74,5.78,14.08,12.02,21.54,6.0,10.16,13.32,17.66,24.92,5.71,229.27,242.51,229.57,213.73,220.82,224.54,36.6,225.79,227.11,224.33,228.88,229.21,17.02,228.79,228.92,228.88,228.98,242.65,243.39,13.58,5.33,228.81,17.81,2.94,5.5,7.11,6.26,1.97,5.69,1.97,6.22,4.47,3.56,4.27,6.36,5.98,5.16,3.09,3.21,4.38,0.74,12.68,6.22,10.13,7.88,2.38,3.27,2.12,2.46,3.14,4.22,3.54,37.82,7.37,6.34,7.47,5.58,4.27,10.9,13.86,18.11,10.48,2.55,10.9,9.02,20.15,41.72
波塞冬海底世界,24.2,20.17,17.59,27.23,23.76,24.02,15.6,17.61,17.63,17.08,29.62,17.18,15.3,18.17,16.65,29.56,17.84,16.73,15.96,18.54,16.9,18.49,24.35,28.84,17.18,17.98,0.0,18.07,18.29,19.34,17.01,32.7,22.54,16.83,24.62,31.42,44.6,21.16,42.33,21.73,32.23,27.57,32.62,24.51,30.41,12.96,21.41,12.88,43.73,29.29,32.45,27.05,43.44,27.46,20.55,27.75,42.81,55.05,29.66,28.04,34.27,23.7,21.08,26.56,36.3,21.27,50.23,21.45,246.93,261.9,247.23,231.39,238.47,242.19,57.64,243.45,244.77,241.99,246.54,246.87,18.88,246.45,246.57,246.53,246.64,262.04,262.78,11.49,27.43,246.47,21.34,18.11,21.65,26.71,24.99,19.75,26.69,18.39,29.41,16.06,19.47,19.75,22.1,20.33,21.01,18.57,18.31,18.94,20.04,39.28,32.33,32.41,25.92,17.85,21.53,19.74,18.85,21.2,19.96,19.45,58.86,24.8,27.79,31.58,15.8,16.84,29.49,17.69,21.79,27.01,18.95,38.06,17.36,16.11,62.76
东北烈士纪念馆,10.17,16.93,3.73,14.77,11.3,11.56,14.22,4.71,4.73,2.05,9.47,1.76,2.17,4.66,3.14,9.42,4.34,2.27,3.31,1.64,3.92,6.37,5.61,10.62,1.76,2.08,18.07,0.0,3.23,2.09,3.34,8.6,3.11,2.08,6.22,11.29,22.45,4.43,26.34,3.73,8.36,9.57,6.43,5.62,14.59,19.87,3.41,19.78,9.31,9.17,8.99,5.82,9.8,9.46,3.53,5.42,10.28,32.89,4.14,14.78,10.48,20.0,3.82,8.56,11.78,16.13,26.07,4.18,229.97,244.95,230.27,214.43,221.52,225.24,35.06,226.5,227.81,225.04,229.58,229.91,15.49,229.49,229.62,229.58,229.68,245.09,245.83,12.05,6.03,229.51,16.27,1.71,4.71,7.02,6.96,3.95,6.4,1.97,4.68,2.28,2.02,2.73,4.83,4.44,3.75,1.55,1.68,2.85,1.61,11.89,6.14,9.36,9.04,1.2,4.43,4.11,2.36,4.29,2.69,3.0,36.28,8.07,7.04,5.87,2.96,1.87,9.36,12.32,16.58,8.94,0.95,10.67,6.77,18.62,40.19
哈尔滨文庙,16.74,23.5,6.89,21.34,17.87,18.13,14.44,7.58,7.6,5.21,12.63,4.92,5.76,7.82,6.03,12.58,7.5,5.55,1.83,4.08,6.63,3.62,3.49,16.91,4.92,5.06,18.29,3.23,0.0,5.04,4.96,13.97,6.52,3.72,4.04,19.66,23.31,1.8,28.53,9.17,13.68,13.9,11.12,4.51,16.6,19.81,5.74,19.73,13.64,13.27,14.31,5.28,13.78,13.79,9.34,4.41,13.8,33.75,9.95,14.22,15.81,24.4,10.18,13.64,17.1,23.93,26.93,7.15,233.34,244.53,233.64,217.8,224.89,228.61,40.38,229.87,231.18,228.41,232.95,233.29,15.44,232.86,232.99,232.95,233.06,244.67,245.41,11.99,8.49,232.88,24.1,2.29,7.35,10.69,7.01,3.73,5.0,2.37,7.65,3.25,5.5,5.45,10.53,7.4,9.34,4.26,4.0,5.8,4.01,14.69,10.26,12.14,9.9,2.61,5.51,3.72,3.33,5.17,5.66,5.48,41.61,6.87,7.31,11.64,3.02,4.03,17.73,19.3,24.38,17.31,4.64,15.99,5.47,23.32,45.51
梅金肖克百年庭院,8.46,15.21,2.12,13.05,9.58,9.84,15.5,2.6,2.63,0.71,7.75,1.08,2.51,3.16,1.99,7.7,2.84,0.97,4.59,3.19,2.18,7.65,6.74,8.89,1.08,3.62,19.34,2.09,5.04,0.0,3.77,8.01,3.8,2.68,7.94,9.48,22.84,7.14,28.06,5.0,7.54,10.67,7.01,7.34,16.31,18.19,4.21,18.76,10.41,10.5,7.76,7.54,10.91,10.56,1.6,7.14,11.38,33.28,2.2,16.5,9.64,18.18,2.0,9.68,10.93,14.31,26.46,3.33,232.88,244.06,233.17,217.34,224.42,228.14,34.22,229.4,230.72,227.94,232.48,232.82,12.87,232.4,232.52,232.48,232.59,244.2,244.94,14.62,7.19,232.41,14.46,4.43,3.58,7.61,9.2,5.35,8.12,4.69,2.93,4.34,2.39,1.09,3.03,2.63,1.97,1.85,2.35,0.93,4.43,14.22,6.72,9.94,9.43,3.92,4.75,5.51,5.07,4.51,1.84,4.14,35.44,9.79,9.28,4.14,4.92,3.19,7.55,10.51,14.76,7.13,2.67,9.82,9.48,16.8,39.34
中东铁路桥头堡,10.46,17.21,3.23,15.05,11.59,11.84,13.17,3.25,3.27,2.72,9.76,3.12,2.09,3.81,2.29,9.7,3.48,2.37,4.51,5.26,2.54,11.33,8.82,11.76,3.24,5.97,17.01,3.34,4.96,3.77,0.0,8.95,5.36,2.32,8.65,10.42,24.89,9.17,28.78,6.16,8.48,12.01,10.08,8.06,17.03,19.13,5.85,19.7,11.75,11.61,8.7,8.26,12.24,11.9,3.16,7.86,12.72,35.33,4.9,17.22,10.52,19.12,4.26,10.99,12.49,15.25,28.51,4.89,235.55,250.53,235.85,220.01,227.1,230.81,35.77,232.07,233.39,230.61,235.16,235.49,13.81,235.07,235.19,235.16,235.26,250.66,251.4,12.45,8.47,235.09,15.4,5.06,5.8,10.68,9.4,6.39,8.83,6.29,5.39,3.75,3.27,2.65,5.54,3.71,4.3,2.37,2.65,2.32,6.84,15.54,9.79,13.01,11.47,4.79,6.3,6.54,5.94,6.73,3.4,3.25,36.99,10.51,9.48,7.83,4.23,2.97,8.49,11.44,15.7,8.07,3.38,11.38,9.19,17.74,40.9
